year,age,sex,people
11/2/2018,45-54,female,25085.91607
11/2/2018,45-54,male,1881.80054
11/2/2018,55-64,female,31810.58961
11/2/2018,55-64,male,2357.266147
11/2/2018,65+,female,19564.12746
11/2/2018,65+,male,1419.927503
11/3/2018,18-24,female,321.205863
11/3/2018,18-24,male,74.315703
11/3/2018,25-34,female,1912.353561
11/3/2018,25-34,male,395.65697
11/3/2018,35-44,female,22969.50398
11/3/2018,35-44,male,3175.130374
11/3/2018,45-54,female,44808.02775
11/3/2018,45-54,male,5307.251045
11/3/2018,55-64,female,51862.96218
11/3/2018,55-64,male,6153.280704
11/3/2018,65+,female,28460.53678
11/3/2018,65+,male,2256.862549
11/4/2018,18-24,female,276.874465
11/4/2018,18-24,male,64.769566
11/4/2018,25-34,female,2277.847012
11/4/2018,25-34,male,454.86718
11/4/2018,35-44,female,21783.59162
11/4/2018,35-44,male,2735.856746
11/4/2018,45-54,female,43100.83247
11/4/2018,45-54,male,4779.44276
11/4/2018,55-64,female,49603.19096
11/4/2018,55-64,male,5013.809313
11/4/2018,65+,female,24425.95724
11/4/2018,65+,male,2044.113551
11/5/2018,18-24,female,126.458772
11/5/2018,18-24,male,16.569873
11/5/2018,25-34,female,1046.183104
11/5/2018,25-34,male,78.94935
11/5/2018,35-44,female,9430.496172
11/5/2018,35-44,male,957.775826
11/5/2018,45-54,female,19135.11646
11/5/2018,45-54,male,1880.191893
11/5/2018,55-64,female,26358.93558
11/5/2018,55-64,male,2381.596932
11/5/2018,65+,female,16393.9696
11/5/2018,65+,male,1636.073711
11/6/2018,18-24,female,116.528118
11/6/2018,18-24,male,14.41959
11/6/2018,25-34,female,836.035477
11/6/2018,25-34,male,65.926237
11/6/2018,35-44,female,7632.518161
11/6/2018,35-44,male,455.317957
11/6/2018,45-54,female,17063.09593
11/6/2018,45-54,male,1053.899156
11/6/2018,55-64,female,24578.44118
11/6/2018,55-64,male,1471.000139
11/6/2018,65+,female,14942.51844
11/6/2018,65+,male,1367.893759
11/7/2018,18-24,female,128.247665
11/7/2018,18-24,male,14.309555
11/7/2018,25-34,female,960.33567
11/7/2018,25-34,male,67.396451
11/7/2018,35-44,female,8198.018657
11/7/2018,35-44,male,449.619708
11/7/2018,45-54,female,17654.70713
11/7/2018,45-54,male,975.70332
11/7/2018,55-64,female,25064.23119
11/7/2018,55-64,male,1459.510391
11/7/2018,65+,female,14557.07364
11/7/2018,65+,male,1287.320798
11/8/2018,18-24,female,110.707874
11/8/2018,18-24,male,13.289873
11/8/2018,25-34,female,819.236791
11/8/2018,25-34,male,57.049513
11/8/2018,35-44,female,8742.066088
11/8/2018,35-44,male,547.602902
11/8/2018,45-54,female,18905.43418
11/8/2018,45-54,male,1184.025227
11/8/2018,55-64,female,26294.3392
11/8/2018,55-64,male,1623.83321
11/8/2018,65+,female,15753.95508
11/8/2018,65+,male,1179.451722
11/9/2018,18-24,female,115.514726
11/9/2018,18-24,male,16.899487
11/9/2018,25-34,female,940.364647
11/9/2018,25-34,male,146.556115
11/9/2018,35-44,female,10969.79672
11/9/2018,35-44,male,918.194533
11/9/2018,45-54,female,22852.19189
11/9/2018,45-54,male,1601.894537
11/9/2018,55-64,female,30137.69217
11/9/2018,55-64,male,1965.505984
11/9/2018,65+,female,17510.36491
11/9/2018,65+,male,1314.683607
11/10/2018,18-24,female,286.677633
11/10/2018,18-24,male,65.229839
11/10/2018,25-34,female,2124.113425
11/10/2018,25-34,male,660.053267
11/10/2018,35-44,female,17453.42427
11/10/2018,35-44,male,3065.905852
11/10/2018,45-54,female,38078.22248
11/10/2018,45-54,male,4804.914087
11/10/2018,55-64,female,47000.1942
11/10/2018,55-64,male,4792.861078
11/10/2018,65+,female,27752.96511
11/10/2018,65+,male,2133.255551
11/11/2018,18-24,female,214.819019
11/11/2018,18-24,male,55.949966
11/11/2018,25-34,female,1778.717962
11/11/2018,25-34,male,523.646698
11/11/2018,35-44,female,21035.78051
11/11/2018,35-44,male,3293.663553
11/11/2018,45-54,female,44653.1356
11/11/2018,45-54,male,5541.612137
11/11/2018,55-64,female,54627.68693
11/11/2018,55-64,male,5573.245658
11/11/2018,65+,female,28134.0125
11/11/2018,65+,male,2031.608358
11/12/2018,18-24,female,135.707925
11/12/2018,18-24,male,10.919787
11/12/2018,25-34,female,977.314494
11/12/2018,25-34,male,56.739158
11/12/2018,35-44,female,10614.06838
11/12/2018,35-44,male,686.919557
11/12/2018,45-54,female,21637.67421
11/12/2018,45-54,male,1439.046651
11/12/2018,55-64,female,28577.51873
11/12/2018,55-64,male,1871.478538
11/12/2018,65+,female,15897.75843
11/12/2018,65+,male,1199.826507
11/13/2018,18-24,female,115.189777
11/13/2018,18-24,male,16.719995
11/13/2018,25-34,female,828.523648
11/13/2018,25-34,male,165.12855
11/13/2018,35-44,female,10399.77398
11/13/2018,35-44,male,910.975318
11/13/2018,45-54,female,21622.18972
11/13/2018,45-54,male,1946.138503
11/13/2018,55-64,female,29189.32163
11/13/2018,55-64,male,2621.985969
11/13/2018,65+,female,15458.57522
11/13/2018,65+,male,1798.98848
11/14/2018,18-24,female,125.819568
11/14/2018,18-24,male,17.72
11/14/2018,25-34,female,818.732657
11/14/2018,25-34,male,199.605906
11/14/2018,35-44,female,10643.11196
11/14/2018,35-44,male,836.213282
11/14/2018,45-54,female,22417.35118
11/14/2018,45-54,male,1765.546652
11/14/2018,55-64,female,29617.29593
11/14/2018,55-64,male,2372.655729
11/14/2018,65+,female,14230.40357
11/14/2018,65+,male,1659.44428
11/15/2018,18-24,female,117.715332
11/15/2018,18-24,male,19.249809
11/15/2018,25-34,female,682.157228
11/15/2018,25-34,male,145.618871
11/15/2018,35-44,female,11662.39091
11/15/2018,35-44,male,830.59814
11/15/2018,45-54,female,23968.67036
11/15/2018,45-54,male,1804.123229
11/15/2018,55-64,female,32057.56015
11/15/2018,55-64,male,2370.138758
11/15/2018,65+,female,17635.08878
11/15/2018,65+,male,2064.306081
11/16/2018,18-24,female,122.66762
11/16/2018,18-24,male,22.499899
11/16/2018,25-34,female,753.405151
11/16/2018,25-34,male,211.906677
11/16/2018,35-44,female,12209.20377
11/16/2018,35-44,male,943.573399
11/16/2018,45-54,female,24092.38023
11/16/2018,45-54,male,1883.594014
11/16/2018,55-64,female,31200.1471
11/16/2018,55-64,male,2445.213873
11/16/2018,65+,female,17859.91236
11/16/2018,65+,male,2089.957841
11/17/2018,18-24,female,201.35625
11/17/2018,18-24,male,62.568634
11/17/2018,25-34,female,1457.43809
11/17/2018,25-34,male,528.291863
11/17/2018,35-44,female,18991.64668
11/17/2018,35-44,male,2698.09216
11/17/2018,45-54,female,40460.26897
11/17/2018,45-54,male,4465.493133
11/17/2018,55-64,female,52204.89514
11/17/2018,55-64,male,5290.109193
11/17/2018,65+,female,30055.41435
11/17/2018,65+,male,2378.818674
11/18/2018,18-24,female,203.642647
11/18/2018,18-24,male,71.079235
11/18/2018,25-34,female,1268.902654
11/18/2018,25-34,male,661.868051
11/18/2018,35-44,female,18290.60512
11/18/2018,35-44,male,3430.046162
11/18/2018,45-54,female,37895.70701
11/18/2018,45-54,male,5651.723907
11/18/2018,55-64,female,45095.72083
11/18/2018,55-64,male,6178.913272
11/18/2018,65+,female,24047.63361
11/18/2018,65+,male,2730.046912
11/19/2018,18-24,female,170.370174
11/19/2018,18-24,male,37.908909
11/19/2018,25-34,female,1010.148625
11/19/2018,25-34,male,244.955979
11/19/2018,35-44,female,13317.30343
11/19/2018,35-44,male,1298.396414
11/19/2018,45-54,female,27488.59305
11/19/2018,45-54,male,2837.200838
11/19/2018,55-64,female,36568.51817
11/19/2018,55-64,male,3734.740265
11/19/2018,65+,female,20625.21219
11/19/2018,65+,male,3050.887397
11/20/2018,18-24,female,123.664766
11/20/2018,18-24,male,26.983709
11/20/2018,25-34,female,786.808533
11/20/2018,25-34,male,203.348139
11/20/2018,35-44,female,5958.485859
11/20/2018,35-44,male,602.723461
11/20/2018,45-54,female,12308.3326
11/20/2018,45-54,male,1274.934463
11/20/2018,55-64,female,15183.73739
11/20/2018,55-64,male,1740.222142
11/20/2018,65+,female,8953.244745
11/20/2018,65+,male,1352.048011
11/21/2018,18-24,female,108.337644
11/21/2018,18-24,male,19.939662
11/21/2018,25-34,female,693.753871
11/21/2018,25-34,male,89.528541
11/21/2018,35-44,female,11086.90855
11/21/2018,35-44,male,787.430706
11/21/2018,45-54,female,23025.06477
11/21/2018,45-54,male,2012.063687
11/21/2018,55-64,female,31377.38165
11/21/2018,55-64,male,3136.180404
11/21/2018,65+,female,18241.93481
11/21/2018,65+,male,2467.332155
11/22/2018,18-24,female,155.448237
11/22/2018,18-24,male,12.649696
11/22/2018,25-34,female,1293.232451
11/22/2018,25-34,male,111.477599
11/22/2018,35-44,female,12842.12295
11/22/2018,35-44,male,898.863459
11/22/2018,45-54,female,26388.15425
11/22/2018,45-54,male,2246.535015
11/22/2018,55-64,female,33672.56253
11/22/2018,55-64,male,3748.293602
11/22/2018,65+,female,18312.34578
11/22/2018,65+,male,2168.567311
11/23/2018,18-24,female,460.668565
11/23/2018,18-24,male,88.248886
11/23/2018,25-34,female,2952.548939
11/23/2018,25-34,male,609.235379
11/23/2018,35-44,female,18997.91737
11/23/2018,35-44,male,2420.744588
11/23/2018,45-54,female,37583.56195
11/23/2018,45-54,male,4885.799612
11/23/2018,55-64,female,45050.01015
11/23/2018,55-64,male,6741.652833
11/23/2018,65+,female,24527.79138
11/23/2018,65+,male,3837.409518
11/24/2018,18-24,female,398.438999
11/24/2018,18-24,male,89.878573
11/24/2018,25-34,female,3329.616363
11/24/2018,25-34,male,746.551289
11/24/2018,35-44,female,23590.38731
11/24/2018,35-44,male,3596.00228
11/24/2018,45-54,female,46608.41171
11/24/2018,45-54,male,6848.910407
11/24/2018,55-64,female,52490.21732
11/24/2018,55-64,male,8368.688003
11/24/2018,65+,female,27017.85675
11/24/2018,65+,male,3994.099993
11/25/2018,18-24,female,291.50441
11/25/2018,18-24,male,86.20672
11/25/2018,25-34,female,2529.260113
11/25/2018,25-34,male,541.714314
11/25/2018,35-44,female,23819.22057
11/25/2018,35-44,male,3547.853611
11/25/2018,45-54,female,46057.37462
11/25/2018,45-54,male,6778.814321
11/25/2018,55-64,female,52435.54158
11/25/2018,55-64,male,8337.067022
11/25/2018,65+,female,26911.11856
11/25/2018,65+,male,3374.967501
11/26/2018,18-24,female,237.49392
11/26/2018,18-24,male,67.398948
11/26/2018,25-34,female,1699.395412
11/26/2018,25-34,male,463.394546
11/26/2018,35-44,female,14715.15838
11/26/2018,35-44,male,2084.788295
11/26/2018,45-54,female,26987.14724
11/26/2018,45-54,male,3919.733014
11/26/2018,55-64,female,30838.64308
11/26/2018,55-64,male,4486.502719
11/26/2018,65+,female,17222.16135
11/26/2018,65+,male,2763.003345
11/27/2018,18-24,female,186.985285
11/27/2018,18-24,male,20.389882
11/27/2018,25-34,female,1380.100897
11/27/2018,25-34,male,176.758762
11/27/2018,35-44,female,9519.178969
11/27/2018,35-44,male,858.577596
11/27/2018,45-54,female,17811.75134
11/27/2018,45-54,male,1568.131904
11/27/2018,55-64,female,21674.98303
11/27/2018,55-64,male,2073.078211
11/27/2018,65+,female,10541.98463
11/27/2018,65+,male,1059.105487
11/28/2018,18-24,female,169.541464
11/28/2018,18-24,male,20.519492
11/28/2018,25-34,female,1127.28724
11/28/2018,25-34,male,195.592441
11/28/2018,35-44,female,7759.831259
11/28/2018,35-44,male,1006.247844
11/28/2018,45-54,female,15444.53491
11/28/2018,45-54,male,1872.548092
11/28/2018,55-64,female,20597.21784
11/28/2018,55-64,male,2426.63477
11/28/2018,65+,female,10462.93681
11/28/2018,65+,male,1097.796164
11/29/2018,18-24,female,181.603597
11/29/2018,18-24,male,29.808626
11/29/2018,25-34,female,961.284812
11/29/2018,25-34,male,254.892627
11/29/2018,35-44,female,7944.32668
11/29/2018,35-44,male,1571.33951
11/29/2018,45-54,female,16092.39293
11/29/2018,45-54,male,2860.042599
11/29/2018,55-64,female,21635.15818
11/29/2018,55-64,male,3541.092789
11/29/2018,65+,female,11889.24512
11/29/2018,65+,male,1793.065712
11/30/2018,18-24,female,187.115295
11/30/2018,18-24,male,29.008777
11/30/2018,25-34,female,1127.161919
11/30/2018,25-34,male,293.991945
11/30/2018,35-44,female,11445.12808
11/30/2018,35-44,male,1532.980316
11/30/2018,45-54,female,24417.53588
11/30/2018,45-54,male,2883.44092
11/30/2018,55-64,female,33559.86226
11/30/2018,55-64,male,3780.422527
11/30/2018,65+,female,16253.81623
11/30/2018,65+,male,1784.60253
12/1/2018,18-24,female,366.113722
12/1/2018,18-24,male,40.29837
12/1/2018,25-34,female,2334.874779
12/1/2018,25-34,male,460.701219
12/1/2018,35-44,female,20964.74312
12/1/2018,35-44,male,3543.869601
12/1/2018,45-54,female,41940.09612
12/1/2018,45-54,male,5790.678835
12/1/2018,55-64,female,48461.12132
12/1/2018,55-64,male,6560.973685
12/1/2018,65+,female,29434.02597
12/1/2018,65+,male,2682.506533
12/2/2018,18-24,female,303.456017
12/2/2018,18-24,male,126.456637
12/2/2018,25-34,female,2238.765038
12/2/2018,25-34,male,575.072675
12/2/2018,35-44,female,21186.58598
12/2/2018,35-44,male,3616.194253
12/2/2018,45-54,female,42587.59247
12/2/2018,45-54,male,5987.135213
12/2/2018,55-64,female,48877.38542
12/2/2018,55-64,male,6972.946162
